collection_id,group_id,is_eligible,has_bonus_cover
1,1,true,true
1,2,true,true
1,3,true,true
1,4,true,true
1,5,true,true
1,6,true,true
1,7,true,true
1,8,true,true
1,9,true,true
1,10,true,true
1,11,true,true
1,12,true,true
1,13,true,true
1,14,true,true
1,15,true,true
1,16,true,true
1,17,true,true
1,18,true,true
1,19,true,true
1,20,true,true
1,21,true,true
1,22,true,true
1,23,true,true
1,24,true,true
1,25,true,true
1,26,true,true
1,27,true,true
1,28,true,true
1,29,true,true
1,30,false,false
1,31,true,true
1,32,true,true
1,33,true,true
1,34,true,true
1,35,true,true
